Soul Eater|Gains 2x per level of the ❁ Damage of the latest monster killed and applies it on your next hit.
Swarm|Increases your damage by 2% for each enemy within 10 blocks. Maximum of 10 enemies.
The One|Grants +0.5 ❤ Health and +0.1 ❁ Strength
Bank|Saves 10% of your coins per level on death. Additionally, enemies drop 0.5 coins when killed.
Bobbin' Time|Increases some of your player stats by +0.48% per fishing bobber within 30 blocks, up to 10 bobbers.
Combo|Increases your damage by 1% per kill up to 2 kills within 2s.
Duplex|Shoot a second arrow dealing 4% per level of the first arrow's damage. Targets hit take 1x + 0.1x per level fire damage for 60s.
Fatal Tempo|Attacking increases your ⫽ Ferocity by 10% per level per hit, capped at 200% for 3 seconds after your last attack.
Flash|Gain a 1% chance per level to instantly attract a fish.
Flowstate|Consecutive blocks broken grant +1 ⸕ Mining Speed. Stops after 10s of not mining and caps at 200 blocks.
Habanero Tactics|ℏ Heal +6% more from wands. ℏ Deal +4% damage with Axes, Scythes, Daggers and Katanas.
Inferno|Every 10th hit on a mob traps it for 5s and deals 1 + 0.25x per level of that hit's damage over the trap's duration
Last Stand|Increases your ❈ Defense by +5% per level when you are below 40% ❤ Health.
Legion|Increases most of your player stats by +0.07% per player per level within 30 blocks of you, up to 20 players.
No Pain No Gain|You have 20% chance per level to gain 10 experience orbs every time you take hits from mobs.
One For All|Removes all other abilities but increases your damage by 500%.
Refrigerate|Grants 5% of ✎ Mana used to cast abilities as ❈ Defense for 10s up to 1,000 ❈ Defense.
Rend|Grants a bow a Left Click ability that rips out the arrows from nearby enemies and deals 5% per level of your last critical hit for every arrow in the target. 2s Cooldown. Max of 5 arrows at a time.
Ultimate Wise|Reduces the ability ✎ Mana Cost of this item by 10% per level
Wisdom	Gain|1 ✎ Intelligence per level, for every 5 levels of exp you have on you. Capped at 20 ✎ Intelligence per level.
